#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Replicons,Scaffolds,Release Date
"Amedibacterium intestinale","Bacteria;Terrabacteria group;Firmicutes","9CBEGH2","SAMD00172920","PRJDB8364","GCA_010537335.1","Complete","chromosome:NZ_AP019711.1/AP019711.1",1,"2020-01-27T23:03:00Z"
"Serratia surfactantfaciens","Bacteria;Proteobacteria;Gammaproteobacteria","YD25","SAMN04226521","PRJNA303098","GCA_001642805.2","Complete","chromosome:NZ_CP016948.1/CP016948.1",1,"2016-08-23T00:00:00Z"
"Parasphingopyxis algicola","Bacteria;Proteobacteria;Alphaproteobacteria","JCM 31719","SAMN14546271","PRJNA623287","GCA_013378075.1","Complete","chromosome:NZ_CP051131.1/CP051131.1",1,"2020-07-01T00:00:00Z"
"Streptomyces rectiverticillatus","Bacteria;Terrabacteria group;Actinobacteria","B15-08","SAMN11882080","PRJNA545298","GCA_013394065.1","Complete","chromosome:NZ_CP040752.1/CP040752.1",1,"2020-07-08T00:00:00Z"
"Serinicoccus hydrothermalis","Bacteria;Terrabacteria group;Actinobacteria","JLT9","SAMN04578256","PRJNA316485","GCA_001685415.1","Complete","chromosome:NZ_CP014989.1/CP014989.1",1,"2016-07-15T00:00:00Z"
"Saccharopolyspora coralli","Bacteria;Terrabacteria group;Actinobacteria","E2A","SAMN13227472","PRJNA588104","GCA_009664835.1","Complete","chromosome:NZ_CP045929.1/CP045929.1",1,"2019-11-17T00:00:00Z"
"Dickeya poaceiphila","Bacteria;Proteobacteria;Gammaproteobacteria","NCPPB 569","SAMN12359392","PRJNA556543","GCA_007858975.2","Complete","chromosome:NZ_CP042220.2/CP042220.2",1,"2019-08-06T00:00:00Z"
"Luteimonas chenhongjianii","Bacteria;Proteobacteria;Gammaproteobacteria","100111","SAMN07357069","PRJNA407011","GCA_002327105.1","Complete","chromosome:NZ_CP023406.1/CP023406.1",1,"2017-09-21T00:00:00Z"
"Chitinimonas arctica","Bacteria;Proteobacteria;Betaproteobacteria","R3-44","SAMN12259023","PRJNA554229","GCA_007431345.1","Complete","chromosome:NZ_CP041730.1/CP041730.1",1,"2019-07-25T00:00:00Z"
"Costertonia aggregata","Bacteria;FCB group;Bacteroidetes/Chlorobi group","KCCM 42265","SAMN15423675","PRJNA643680","GCA_013402795.1","Complete","chromosome:NZ_CP058595.1/CP058595.1",1,"2020-07-12T00:00:00Z"
"Francisella orientalis LADL--07-285A","Bacteria;Proteobacteria;Gammaproteobacteria","LADL--07-285A","SAMN02641525","PRJNA210898","GCA_000505725.1","Complete","chromosome:NC_023029.1/CP006875.1",1,"2013-12-11T00:00:00Z"
"Flavobacterium alkalisoli","Bacteria;FCB group;Bacteroidetes/Chlorobi group","XS-5","SAMN12541851","PRJNA559457","GCA_008000935.1","Complete","chromosome:NZ_CP042831.1/CP042831.1",1,"2019-08-18T00:00:00Z"
"Chitinibacter fontanus","Bacteria;Proteobacteria;Betaproteobacteria","STM-7","SAMN15488471","PRJNA645016","GCA_013423785.1","Complete","chromosome:NZ_CP058952.1/CP058952.1",1,"2020-07-19T00:00:00Z"
"Nocardioides ungokensis","Bacteria;Terrabacteria group;Actinobacteria","LMG 28591","SAMN15542937","PRJNA646409","GCA_013466985.1","Complete","chromosome:NZ_CP059164.1/CP059164.1",1,"2020-07-22T00:00:00Z"
"Ensifer mexicanus","Bacteria;Proteobacteria;Alphaproteobacteria","ITTG R7","SAMN12136707","PRJNA550999","GCA_013488225.1","Complete","chromosome:NZ_CP041238.1/CP041238.1; plasmid pEmeITTGR7a:NZ_CP041239.1/CP041239.1; plasmid pEmeITTGR7b:NZ_CP041240.1/CP041240.1; plasmid pEmeITTGR7c:NZ_CP041241.1/CP041241.1",4,"2020-07-23T00:00:00Z"
"Anoxybacillus caldiproteolyticus","Bacteria;Terrabacteria group;Firmicutes","U458","SAMN16644385","PRJNA622823","GCA_015326725.1","Complete","chromosome:NZ_CP064060.1/CP064060.1; plasmid pBstUI51:NZ_CP064061.1/CP064061.1",2,"2020-11-10T00:00:00Z"
"Azospirillum thermophilum","Bacteria;Proteobacteria;Alphaproteobacteria","CFH 70021","SAMN09041438","PRJNA457859","GCA_003130795.1","Complete","chromosome 1:NZ_CP029352.1/CP029352.1; chromosome 2:NZ_CP029353.1/CP029353.1; chromosome 3:NZ_CP029354.1/CP029354.1; chromosome 4:NZ_CP029355.1/CP029355.1; plasmid unnamed1:NZ_CP029356.1/CP029356.1; plasmid unnamed2:NZ_CP029357.1/CP029357.1; plasmid unnamed3:NZ_CP029358.1/CP029358.1; plasmid unnamed4:NZ_CP029359.1/CP029359.1; plasmid unnamed5:NZ_CP029360.1/CP029360.1",9,"2018-05-17T00:00:00Z"
"Cryobacterium soli","Bacteria;Terrabacteria group;Actinobacteria","GCJ02","SAMN09404755","PRJNA475847","GCA_003611035.1","Complete","chromosome:NZ_CP030033.1/CP030033.1",1,"2018-10-03T00:00:00Z"
"Gryllotalpicola protaetiae","Bacteria;Terrabacteria group;Actinobacteria","2DFW10M-5","SAMN10141029","PRJNA493668","GCA_003627055.1","Complete","chromosome:NZ_CP032624.1/CP032624.1; plasmid unnamed1:NZ_CP032625.1/CP032625.1",2,"2018-10-07T00:00:00Z"
"Pseudomonas glycinae","Bacteria;Proteobacteria;Gammaproteobacteria","MS586","SAMN04435621","PRJNA309549","GCA_001594225.2","Complete","chromosome:NZ_CP014205.2/CP014205.2",1,"2016-03-21T00:00:00Z"
"Nostoc edaphicum CCNP1411","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","CCNP1411","SAMN15196599","PRJNA638531","GCA_014023275.1","Complete","chromosome:NZ_CP054698.1/CP054698.1; plasmid pNe_1:NZ_CP054693.1/CP054693.1; plasmid pNe_2:NZ_CP054694.1/CP054694.1; plasmid pNe_3:NZ_CP054695.1/CP054695.1; plasmid pNe_4:NZ_CP054696.1/CP054696.1; plasmid pNe_5:NZ_CP054697.1/CP054697.1",6,"2020-07-31T00:00:00Z"
"Bacillus dafuensis","Bacteria;Terrabacteria group;Firmicutes","FJAT-25496","SAMN12496244","PRJNA558660","GCA_007995155.1","Complete","chromosome:NZ_CP042593.1/CP042593.1",1,"2019-08-14T00:00:00Z"
"Streptomyces paludis","Bacteria;Terrabacteria group;Actinobacteria","GSSD-12","SAMN09699158","PRJNA482168","GCA_003344965.1","Complete","chromosome:NZ_CP031194.1/CP031194.1",1,"2018-07-30T00:00:00Z"
"Paracoccus liaowanqingii","Bacteria;Proteobacteria;Alphaproteobacteria","2251","SAMN08932433","PRJNA529051","GCA_004683865.2","Complete","chromosome:NZ_CP038439.1/CP038439.1; plasmid unnamed1:NZ_CP040765.1/CP040765.1; plasmid unnamed10:NZ_CP040757.1/CP040757.1; plasmid unnamed2:NZ_CP040762.1/CP040762.1; plasmid unnamed3:NZ_CP040764.1/CP040764.1; plasmid unnamed4:NZ_CP040763.1/CP040763.1; plasmid unnamed5:NZ_CP040761.1/CP040761.1; plasmid unnamed6:NZ_CP040760.1/CP040760.1; plasmid unnamed7:NZ_CP040758.1/CP040758.1; plasmid unnamed8:NZ_CP040759.1/CP040759.1; plasmid unnamed9:NZ_CP040756.1/CP040756.1",11,"2019-04-06T00:00:00Z"
"Planococcus dechangensis","Bacteria;Terrabacteria group;Firmicutes","XJ11","SAMN15595210","PRJNA647597","GCA_014048085.1","Complete","chromosome:NZ_CP059540.1/CP059540.1; plasmid unnamed1:NZ_CP059541.1/CP059541.1",2,"2020-08-03T00:00:00Z"
"Erysipelothrix piscisicarius","Bacteria;Terrabacteria group;Firmicutes","15TAL0474","SAMN10349467","PRJNA498530","GCA_003931795.1","Complete","chromosome:NZ_CP034234.1/CP034234.1",1,"2018-12-09T00:00:00Z"
"Entomomonas moraniae","Bacteria;Proteobacteria;Gammaproteobacteria","QZS01","SAMN09355261","PRJNA474573","GCA_003991975.1","Complete","chromosome:NZ_CP029822.1/CP029822.1",1,"2019-01-04T00:00:00Z"
"Apibacter raozihei","Bacteria;FCB group;Bacteroidetes/Chlorobi group","HY041","SAMN10691118","PRJNA512963","GCA_004014855.1","Complete","chromosome:NZ_CP034930.1/CP034930.1",1,"2019-01-14T00:00:00Z"
"Mycoplasma tullyi","Bacteria;Terrabacteria group;Tenericutes","56A97T","SAMN15669431","PRJNA649564","GCA_014068355.1","Complete","chromosome:NZ_CP059674.1/CP059674.1",1,"2020-08-05T00:00:00Z"
"Luteimonas granuli","Bacteria;Proteobacteria;Gammaproteobacteria","Gr-4","SAMN12358944","PRJNA556523","GCA_007795095.1","Complete","chromosome:NZ_CP042218.1/CP042218.1",1,"2019-08-01T00:00:00Z"
"Mesorhizobium terrae","Bacteria;Proteobacteria;Alphaproteobacteria","NIBRBAC000500504","SAMN12645991","PRJNA562620","GCA_008727715.1","Complete","chromosome:NZ_CP044218.1/CP044218.1; plasmid unnamed:NZ_CP044217.1/CP044217.1",2,"2019-09-29T00:00:00Z"
"Pontibacter russatus","Bacteria;FCB group;Bacteroidetes/Chlorobi group","BT326","SAMN13706907","PRJNA598469","GCA_009931655.1","Complete","chromosome:NZ_CP047984.1/CP047984.1",1,"2020-01-27T00:00:00Z"
"Pontibacter pudoricolor","Bacteria;FCB group;Bacteroidetes/Chlorobi group","BT214","SAMN13706917","PRJNA598472","GCA_010092985.1","Complete","chromosome:NZ_CP048106.1/CP048106.1",1,"2020-02-03T00:00:00Z"
"Ciceribacter thiooxidans","Bacteria;Proteobacteria;Alphaproteobacteria","F43B","SAMN15685211","PRJNA649888","GCA_014126615.1","Complete","chromosome:NZ_CP059896.1/CP059896.1; plasmid unnamed:NZ_CP059897.1/CP059897.1",2,"2020-08-10T00:00:00Z"
"Comamonas koreensis","Bacteria;Proteobacteria;Betaproteobacteria","T50-37","SAMN12671333","PRJNA563301","GCA_014076495.1","Complete","chromosome:NZ_CP043575.1/CP043575.1",1,"2020-08-05T00:00:00Z"
"Sphingomonas alpina","Bacteria;Proteobacteria;Alphaproteobacteria","DSM 22537","SAMN15667083","PRJNA649412","GCA_014490665.1","Complete","chromosome:NZ_CP061038.1/CP061038.1",1,"2020-09-08T00:00:00Z"
"Anaerocolumna cellulosilytica","Bacteria;Terrabacteria group;Firmicutes","SN021","SAMD00229170","PRJDB9873","GCA_014218335.1","Complete","chromosome:NZ_AP023367.1/AP023367.1",1,"2020-08-07T00:00:00Z"
"Kribbella qitaiheensis","Bacteria;Terrabacteria group;Actinobacteria","SPB151","SAMN12282933","PRJNA554385","GCA_014217565.1","Complete","chromosome:NZ_CP043661.1/CP043661.1",1,"2020-08-17T00:00:00Z"
"Adhaeribacter swui","Bacteria;FCB group;Bacteroidetes/Chlorobi group","KCTC 52873","SAMN15236438","PRJNA639429","GCA_014217805.1","Complete","chromosome:NZ_CP055156.1/CP055156.1; plasmid unnamed1:NZ_CP055154.1/CP055154.1; plasmid unnamed2:NZ_CP055155.1/CP055155.1",3,"2020-08-17T00:00:00Z"
"Bradyrhizobium cosmicum","Bacteria;Proteobacteria;Alphaproteobacteria","S23321","SAMD00060998","PRJDA72425","GCA_000284275.1","Complete","chromosome:NC_017082.1/AP012279.1",1,"2012-03-28T23:04:00Z"
"Neisseria musculi","Bacteria;Proteobacteria;Betaproteobacteria","NW831","SAMN15791842","PRJNA656535","GCA_014297595.1","Complete","chromosome:NZ_CP060414.1/CP060414.1; plasmid unnamed:NZ_CP060415.1/CP060415.1",2,"2020-08-26T00:00:00Z"
"Georgenia faecalis","Bacteria;Terrabacteria group;Actinobacteria","ZLJ0423","SAMN10290709","PRJNA498385","GCA_003710105.1","Complete","chromosome:NZ_CP033325.1/CP033325.1",1,"2018-11-03T00:00:00Z"
"Pedobacter roseus","Bacteria;FCB group;Bacteroidetes/Chlorobi group","KACC 11594","SAMN15892562","PRJNA658890","GCA_014395225.1","Complete","chromosome:NZ_CP060723.1/CP060723.1",1,"2020-09-02T00:00:00Z"
"Nocardioides mesophilus","Bacteria;Terrabacteria group;Actinobacteria","KACC 16243","SAMN15892351","PRJNA658871","GCA_014395785.1","Complete","chromosome:NZ_CP060713.1/CP060713.1",1,"2020-09-02T00:00:00Z"
"Diaphorobacter ruginosibacter","Bacteria;Proteobacteria;Betaproteobacteria","DSM 27467","SAMN15892347","PRJNA658867","GCA_014395975.1","Complete","chromosome:NZ_CP060714.1/CP060714.1",1,"2020-09-02T00:00:00Z"
"Leucobacter denitrificans","Bacteria;Terrabacteria group;Actinobacteria","KACC 14055","SAMN15892350","PRJNA658870","GCA_014396385.1","Complete","chromosome:NZ_CP060716.1/CP060716.1",1,"2020-09-02T00:00:00Z"
"Sphingomonas rhizophila","Bacteria;Proteobacteria;Alphaproteobacteria","KACC 19189","SAMN15892355","PRJNA658875","GCA_014396585.1","Complete","chromosome:NZ_CP060717.1/CP060717.1",1,"2020-09-02T00:00:00Z"
"Sphingomonas lutea","Bacteria;Proteobacteria;Alphaproteobacteria","KCTC 23642","SAMN15892356","PRJNA658876","GCA_014396785.1","Complete","chromosome:NZ_CP060718.1/CP060718.1",1,"2020-09-02T00:00:00Z"
"Nocardia wallacei","Bacteria;Terrabacteria group;Actinobacteria","FMUON74","SAMD00238642","PRJDB10329","GCA_014466955.1","Complete","chromosome:NZ_AP023396.1/AP023396.1; plasmid pFMUON74:NZ_AP023397.1/AP023397.1",2,"2020-08-21T00:00:00Z"
"Nitratiruptor labii","Bacteria;Proteobacteria;delta/epsilon subdivisions","HRV44","SAMD00205706","PRJDB9307","GCA_014466985.1","Complete","chromosome 1:NZ_AP022826.1/AP022826.1; plasmid pHRV44:NZ_AP022827.1/AP022827.1",2,"2020-08-27T00:00:00Z"
"Cylindrospermopsis curvispora GIHE-G1","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","GIHE-G1","SAMN15834505","PRJNA616171","GCA_014489415.1","Complete","chromosome:NZ_CP060822.1/CP060822.1; plasmid p-r.curvispora1:NZ_CP060823.1/CP060823.1",2,"2020-09-06T00:00:00Z"
"Sphingomonas daechungensis","Bacteria;Proteobacteria;Alphaproteobacteria","KACC 18115","SAMN15892488","PRJNA658881","GCA_014489495.1","Complete","chromosome:NZ_CP060780.1/CP060780.1; plasmid p_unnamed1:NZ_CP060781.1/CP060781.1",2,"2020-09-06T00:00:00Z"
"Sphingomonas sediminicola","Bacteria;Proteobacteria;Alphaproteobacteria","KACC 15039","SAMN15892487","PRJNA658880","GCA_014489515.1","Complete","chromosome:NZ_CP060782.1/CP060782.1",1,"2020-09-06T00:00:00Z"
"Diaphorobacter aerolatus","Bacteria;Proteobacteria;Betaproteobacteria","KACC 16536","SAMN15892346","PRJNA658866","GCA_014489535.1","Complete","chromosome:NZ_CP060783.1/CP060783.1",1,"2020-09-06T00:00:00Z"
"Tessaracoccus defluvii","Bacteria;Terrabacteria group;Actinobacteria","JCM 17540","SAMN15892529","PRJNA658888","GCA_014489575.1","Complete","chromosome:NZ_CP060789.1/CP060789.1",1,"2020-09-06T00:00:00Z"
"Acidovorax monticola","Bacteria;Proteobacteria;Betaproteobacteria","KACC 19171","SAMN15892564","PRJNA658891","GCA_014489595.1","Complete","chromosome:NZ_CP060790.1/CP060790.1",1,"2020-09-06T00:00:00Z"
"Borrelia maritima","Bacteria;Spirochaetes;Spirochaetia","CA690","SAMN08925038","PRJNA450015","GCA_008931845.1","Complete","chromosome:NZ_CP044535.1/CP044535.1; plasmid cp26:NZ_CP044539.1/CP044539.1; plasmid cp32-2:NZ_CP044542.1/CP044542.1; plasmid lp17:NZ_CP044540.1/CP044540.1; plasmid lp28-2:NZ_CP044538.1/CP044538.1; plasmid lp28-4:NZ_CP044537.1/CP044537.1; plasmid lp36:NZ_CP044541.1/CP044541.1; plasmid lp54:NZ_CP044536.1/CP044536.1",8,"2019-10-09T00:00:00Z"
"Weissella diestrammenae","Bacteria;Terrabacteria group;Firmicutes","KACC 16890","SAMN15892525","PRJNA658885","GCA_014397255.1","Complete","chromosome:NZ_CP060724.1/CP060724.1",1,"2020-09-02T00:00:00Z"
"Erythrobacter mangrovi","Bacteria;Proteobacteria;Alphaproteobacteria","EB310","SAMN15030200","PRJNA635245","GCA_013260645.1","Complete","chromosome:NZ_CP053921.1/CP053921.1",1,"2020-06-03T00:00:00Z"
"Micromonospora craniellae","Bacteria;Terrabacteria group;Actinobacteria","LHW63014","SAMN16176545","PRJNA663246","GCA_014764405.1","Complete","chromosome:NZ_CP061725.1/CP061725.1",1,"2020-09-27T00:00:00Z"
"Xanthomonas euroxanthea","Bacteria;Proteobacteria;Gammaproteobacteria","Xanthomonas sp. CPBF 426","SAMEA7029898","PRJEB39139","GCA_903970605.1","Complete","chromosome 1:NZ_LR824639.1/; plasmid 2:NZ_LR824640.1/",2,"2020-07-10T00:00:00Z"
"Streptomyces chromofuscus","Bacteria;Terrabacteria group;Actinobacteria","DSM 40273","SAMN16442616","PRJNA669217","GCA_015160875.1","Complete","chromosome:NZ_CP063374.1/CP063374.1",1,"2020-11-01T00:00:00Z"
"Vibrio aquimaris","Bacteria;Proteobacteria;Gammaproteobacteria","THAF100","SAMN11996127","PRJNA547984","GCA_009363415.1","Complete","chromosome:NZ_CP045350.1/CP045350.1; plasmid pTHAF100_a:NZ_CP045351.1/CP045351.1; plasmid pTHAF100_b:NZ_CP045352.1/CP045352.1; plasmid pTHAF100_c:NZ_CP045353.1/CP045353.1",4,"2019-10-28T00:00:00Z"
"Rhizobium indicum","Bacteria;Proteobacteria;Alphaproteobacteria","JKLM 12A2","SAMN11792776","PRJNA543966","GCA_005862305.2","Complete","chromosome:NZ_CP054021.1/CP054021.1; plasmid pPR12A201:NZ_CP054022.1/CP054022.1; plasmid pPR12A202:NZ_CP054023.1/CP054023.1; plasmid pPR12A203:NZ_CP054024.1/CP054024.1; plasmid pPR12A204:NZ_CP054025.1/CP054025.1; plasmid pPR12A205:NZ_CP054026.1/CP054026.1",6,"2020-05-28T00:00:00Z"
"Defluviicoccus vanus","Bacteria;Proteobacteria;Alphaproteobacteria","Ben 114","SAMN15030566","PRJNA635277","GCA_014672695.1","Complete","chromosome:NZ_CP053923.1/CP053923.1; plasmid unnamed:NZ_CP053924.1/CP053924.1",2,"2020-09-21T00:00:00Z"
"Saccharopolyspora pogona","Bacteria;Terrabacteria group;Actinobacteria","NRRL30141","SAMN09531813","PRJNA473383","GCA_014697215.1","Complete","chromosome:NZ_CP031142.1/CP031142.1; plasmid unnamed1:NZ_CP031143.1/CP031143.1; plasmid unnamed2:NZ_CP031144.1/CP031144.1",3,"2020-09-22T00:00:00Z"
"Streptomyces tuirus","Bacteria;Terrabacteria group;Actinobacteria","JCM 4255","SAMD00245407","PRJDB10510","GCA_014701095.1","Complete","chromosome:NZ_AP023439.1/AP023439.1",1,"2020-09-11T00:00:00Z"
"Streptomyces glomeroaurantiacus","Bacteria;Terrabacteria group;Actinobacteria","JCM 4677","SAMD00245496","PRJDB10510","GCA_014701115.1","Complete","chromosome:NZ_AP023440.1/AP023440.1",1,"2020-09-11T00:00:00Z"
"Mesoflavibacter profundi","Bacteria;FCB group;Bacteroidetes/Chlorobi group","YC1039","SAMN16131505","PRJNA663281","GCA_014764305.1","Complete","chromosome:NZ_CP061703.1/CP061703.1",1,"2020-09-27T00:00:00Z"
"Paenibacillus lycopersici","Bacteria;Terrabacteria group;Firmicutes","12200R-189","SAMN13931081","PRJNA603418","GCA_010119935.1","Complete","chromosome:NZ_CP048209.1/CP048209.1",1,"2020-02-04T00:00:00Z"
"Paenibacillus rhizovicinus","Bacteria;Terrabacteria group;Firmicutes","14171R-81","SAMN13972363","PRJNA604468","GCA_010365285.1","Complete","chromosome:NZ_CP048286.1/CP048286.1; plasmid unnamed1:NZ_CP048287.1/CP048287.1; plasmid unnamed2:NZ_CP048288.1/CP048288.1",3,"2020-02-09T00:00:00Z"
"Clostridium thermarum","Bacteria;Terrabacteria group;Firmicutes","SYSU GA15002","SAMN11964582","PRJNA547469","GCA_006351925.1","Complete","chromosome:NZ_CP040924.1/CP040924.1",1,"2019-06-17T00:00:00Z"
"Desulfolutivibrio sulfoxidireducens","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 107105","SAMN13087126","PRJNA578905","GCA_013376475.1","Complete","chromosome:NZ_CP045508.1/CP045508.1",1,"2020-06-29T00:00:00Z"
"Leucobacter muris","Bacteria;Terrabacteria group;Actinobacteria","DSM 101948","SAMN10713103","PRJNA513465","GCA_004028235.1","Complete","chromosome:NZ_CP035037.1/CP035037.1",1,"2019-01-17T00:00:00Z"
"Tepiditoga spiralis","Bacteria;Thermotogae;Thermotogae","sy52","SAMD00113976","PRJDB6802","GCA_014701195.1","Complete","chromosome:NZ_AP018712.1/AP018712.1",1,"2020-09-02T23:12:00Z"
"Mannheimia ovis","Bacteria;Proteobacteria;Gammaproteobacteria","ZY170218","SAMN13386910","PRJNA591732","GCA_009828705.1","Complete","chromosome:NZ_CP046531.1/CP046531.1",1,"2020-01-03T00:00:00Z"
"Sphingomonas lacunae","Bacteria;Proteobacteria;Alphaproteobacteria","CSW-10","SAMN13870492","PRJNA601563","GCA_012979535.1","Complete","chromosome:NZ_CP053015.1/CP053015.1",1,"2020-05-07T00:00:00Z"
"Thiosulfativibrio zosterae","Bacteria;Proteobacteria;Gammaproteobacteria","AkT22","SAMD00194003","PRJDB8866","GCA_011398155.1","Complete","chromosome:NZ_AP021888.1/AP021888.1",1,"2020-03-06T00:00:00Z"
"Thiosulfatimonas sediminis","Bacteria;Proteobacteria;Gammaproteobacteria","aks77","SAMD00194004","PRJDB8866","GCA_011398355.1","Complete","chromosome:NZ_AP021889.1/AP021889.1",1,"2020-03-06T00:00:00Z"
"Sulfurimonas paralvinellae","Bacteria;Proteobacteria;delta/epsilon subdivisions","GO25","SAMN12229591","PRJNA553136","GCA_014905135.1","Complete","chromosome:NZ_CP041406.1/CP041406.1; plasmid unnamed:NZ_CP041407.1/CP041407.1",2,"2020-10-21T00:00:00Z"
"Microvirga thermotolerans","Bacteria;Proteobacteria;Alphaproteobacteria","HR1","SAMN13067488","PRJNA578616","GCA_009363855.1","Complete","chromosome:NZ_CP045423.1/CP045423.1",1,"2019-10-28T00:00:00Z"
"Nonomuraea nitratireducens","Bacteria;Terrabacteria group;Actinobacteria","WYY166","SAMN13021592","PRJNA577199","GCA_009497075.1","Complete","chromosome:NZ_CP045572.1/CP045572.1",1,"2019-11-03T00:00:00Z"
"Gimesia benthica","Bacteria;PVC group;Planctomycetes","E7","SAMN12720309","PRJNA564883","GCA_009720525.1","Complete","chromosome:NZ_CP043930.1/CP043930.1",1,"2019-11-29T00:00:00Z"
"Algicoccus marinus","Bacteria;Proteobacteria;Betaproteobacteria","HZ20","SAMN08912484","PRJNA449597","GCA_003058465.1","Complete","chromosome:NZ_CP028901.1/CP028901.1",1,"2018-04-22T00:00:00Z"
"Epilithonimonas vandammei","Bacteria;FCB group;Bacteroidetes/Chlorobi group","F5649","SAMN10343180","PRJNA498692","GCA_003860525.1","Complete","chromosome:NZ_CP034161.1/CP034161.1",1,"2018-12-04T00:00:00Z"
"Frigoriglobus tundricola","Bacteria;PVC group;Planctomycetes","PL17","SAMN14833344","PRJNA630380","GCA_013128195.2","Complete","chromosome:NZ_CP053452.2/CP053452.2; plasmid pPL17-1:NZ_CP053453.1/CP053453.1",2,"2020-05-20T00:00:00Z"
"Streptomyces ferrugineus","Bacteria;Terrabacteria group;Actinobacteria","CCTCC AA2014009","SAMN16442761","PRJNA669217","GCA_015160855.1","Complete","chromosome:NZ_CP063373.1/CP063373.1",1,"2020-11-01T00:00:00Z"
"Kordiimonas pumila","Bacteria;Proteobacteria;Alphaproteobacteria","N18","SAMN16069864","PRJNA481858","GCA_015240255.1","Complete","chromosome:NZ_CP061205.1/CP061205.1",1,"2020-11-05T00:00:00Z"
"Paludibaculum fermentans","Bacteria;Acidobacteria;Acidobacteriia","P105","SAMN16584060","PRJNA672985","GCA_015277775.1","Complete","chromosome:NZ_CP063849.1/CP063849.1; plasmid pPfer1:NZ_CP063850.1/CP063850.1",2,"2020-11-08T00:00:00Z"
"Winogradskyella forsetii","Bacteria;FCB group;Bacteroidetes/Chlorobi group","HL857","SAMN14839900","PRJNA630549","GCA_013394595.1","Complete","chromosome:NZ_CP053348.1/CP053348.1",1,"2020-07-08T00:00:00Z"
"Winogradskyella schleiferi","Bacteria;FCB group;Bacteroidetes/Chlorobi group","Z215","SAMN14839903","PRJNA630549","GCA_013394655.1","Complete","chromosome:NZ_CP053351.1/CP053351.1",1,"2020-07-08T00:00:00Z"
"Oecophyllibacter saccharovorans","Bacteria;Proteobacteria;Alphaproteobacteria","Ha5","SAMN11175484","PRJNA528182","GCA_006542375.1","Complete","chromosome:NZ_CP038143.1/CP038143.1; plasmid unnamed1:NZ_CP038144.1/CP038144.1",2,"2019-07-02T00:00:00Z"
